type,date,latitude,longitude,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,source_month,year,month,time,has_location
Person and Vehicle search,2024-08-26 12:01:00+00:00,53.753454,-1.08699,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-08,2024,8,12,True
Person search,2024-08-26 15:25:00+00:00,53.993438,-1.538032,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,Yes,2024-08,2024,8,15,True
Person and Vehicle search,2024-08-27 11:47:00+00:00,53.949789,-1.019701,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-08,2024,8,11,True
Person search,2024-08-28 09:53:00+00:00,53.852759,-1.349605,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Arrest,Yes,2024-08,2024,8,9,True
Person search,2024-08-28 20:43:00+00:00,53.958162,-1.118507,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-08,2024,8,20,True
Person search,2024-08-28 21:29:00+00:00,53.786691,-1.072791,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2024-08,2024,8,21,True
Person search,2024-08-29 01:40:00+00:00,,,Male,over 34,Other ethnic group - Not stated,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,Yes,2024-08,2024,8,1,False
Person and Vehicle search,2024-08-29 16:37:00+00:00,53.949353,-1.383758,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,Not Specified,No,2024-08,2024,8,16,True
Person search,2024-08-29 22:43:00+00:00,53.992638,-1.004342,Male,Not Specified,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-08,2024,8,22,True
Person search,2024-08-29 22:46:00+00:00,54.289852,-0.406021,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-08,2024,8,22,True
Person search,2024-08-31 01:18:00+00:00,53.774532,-1.056838,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-08,2024,8,1,True
Person and Vehicle search,2024-08-31 01:32:00+00:00,53.772767,-1.064555,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-08,2024,8,1,True
Person search,2025-06-04 00:16:00+00:00,53.997213,-1.528944,Male,over 34,Not Specified,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,0,True
Person search,2025-06-04 00:34:00+00:00,53.999964,-1.533703,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,0,True
Person and Vehicle search,2025-06-04 00:52:00+00:00,54.001623,-1.535073,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,0,True
Person search,2025-06-04 04:20:00+00:00,53.950993,-1.108099,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2025-06,2025,6,4,True
Vehicle search,2025-06-04 14:15:00+00:00,,,Not Specified,over 34,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2025-06,2025,6,14,False
Person and Vehicle search,2025-06-05 13:50:00+00:00,54.242305,-0.761041,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,13,True
Person search,2025-06-06 12:14:00+00:00,53.995474,-1.539275,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,12,True
Person search,2025-06-06 12:14:00+00:00,53.995474,-1.539275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2025-06,2025,6,12,True
Person and Vehicle search,2025-06-06 20:14:00+00:00,54.417379,-1.267812,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2025-06,2025,6,20,True
Person and Vehicle search,2025-06-06 20:14:00+00:00,54.417379,-1.267812,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2025-06,2025,6,20,True
Person and Vehicle search,2025-06-07 07:06:00+00:00,53.775022,-1.248368,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,7,True
Person search,2025-06-07 16:17:00+00:00,53.954621,-1.093194,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,16,True
Person search,2025-06-07 20:05:00+00:00,53.972766,-1.086976,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2025-06,2025,6,20,True
Person search,2025-06-07 22:16:00+00:00,54.28144,-0.399265,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,22,True
Person search,2025-06-09 01:39:00+00:00,54.263451,-1.515246,Male,over 34,Not Specified,Asian,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Community resolution,Yes,2025-06,2025,6,1,True
Person search,2025-06-09 22:55:00+00:00,54.135303,-0.773313,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,22,True
Person search,2025-06-10 04:20:00+00:00,54.281153,-0.410888,Male,25-34,Not Specified,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,4,True
Person search,2025-06-10 06:14:00+00:00,53.958919,-1.080451,Male,18-24,Not Specified,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2025-06,2025,6,6,True
Person search,2025-06-10 12:49:00+00:00,53.949899,-1.109661,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,12,True
Person search,2025-06-11 13:42:00+00:00,54.248074,-0.787466,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,13,True
Person and Vehicle search,2025-06-12 00:13:00+00:00,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,0,False
Person search,2025-06-12 00:45:00+00:00,54.374836,-1.695861,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,0,True
Person search,2025-06-12 14:47:00+00:00,54.284499,-0.390021,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,Yes,2025-06,2025,6,14,True
Person search,2025-06-13 01:44:00+00:00,53.785261,-1.068026,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,1,True
Person search,2025-06-14 01:00:00+00:00,54.282793,-0.398951,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,Yes,2025-06,2025,6,1,True
Person search,2025-06-14 20:23:00+00:00,53.960859,-1.070836,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,20,True
Person search,2025-06-15 05:55:00+00:00,53.975493,-1.072249,Male,18-24,Not Specified,Black,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Not Specified,No,2025-06,2025,6,5,True
Person and Vehicle search,2025-06-15 11:55:00+00:00,54.249179,-0.480389,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,11,True
Person and Vehicle search,2025-06-15 11:55:00+00:00,54.249179,-0.480389,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,11,True
Person and Vehicle search,2025-06-16 03:19:00+00:00,54.005414,-1.536892,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,3,True
Person search,2025-06-16 18:43:00+00:00,54.10489,-1.384498,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,Yes,2025-06,2025,6,18,True
Person search,2025-06-17 01:06:00+00:00,54.231429,-0.321082,Male,25-34,Not Specified,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,1,True
Person search,2025-06-17 03:36:00+00:00,54.231429,-0.321082,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,3,True
Person search,2025-06-17 03:45:00+00:00,54.231429,-0.321082,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,3,True
Person search,2025-06-17 16:09:00+00:00,54.128038,-0.293555,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,16,True
Person search,2025-06-17 16:16:00+00:00,54.128038,-0.293555,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,16,True
Person search,2025-06-17 19:01:00+00:00,54.134954,-0.774348,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2025-06,2025,6,19,True
Person search,2025-06-17 19:01:00+00:00,54.134954,-0.774348,Male,10-17,Not Specified,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2025-06,2025,6,19,True
Person search,2025-06-17 19:26:00+00:00,54.134954,-0.774348,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,19,True
Person search,2025-06-17 20:27:00+00:00,53.965236,-1.083726,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2025-06,2025,6,20,True
Person search,2025-06-17 20:29:00+00:00,54.28366,-0.394524,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2025-06,2025,6,20,True
Person search,2025-06-17 20:29:00+00:00,54.28366,-0.394524,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,20,True
Person and Vehicle search,2025-06-17 21:57:00+00:00,54.284456,-1.807534,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2025-06,2025,6,21,True
Person search,2025-06-17 23:45:00+00:00,53.991923,-1.104071,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2025-06,2025,6,23,True
Person and Vehicle search,2025-06-19 20:24:00+00:00,53.96509,-1.108621,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2025-06,2025,6,20,True
Person search,2025-06-19 20:43:00+00:00,53.966683,-1.082505,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Stolen goods,Arrest,Yes,2025-06,2025,6,20,True
Person search,2025-06-20 10:52:00+00:00,53.958796,-1.086732,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,10,True
Person and Vehicle search,2025-06-20 23:03:00+00:00,54.233036,-0.334559,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,23,True
Person search,2025-06-21 03:50:00+00:00,54.381685,-1.685603,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,Not Specified,No,2025-06,2025,6,3,True
Person search,2025-06-23 12:53:00+00:00,54.339324,-1.433721,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2025-06,2025,6,12,True
Person search,2025-06-24 00:07:00+00:00,54.005686,-1.5375,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2025-06,2025,6,0,True
Person search,2025-06-24 04:55:00+00:00,53.956609,-1.0734,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,4,True
Person search,2025-06-24 09:07:00+00:00,53.95439,-1.07524,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,9,True
Person search,2025-06-24 13:50:00+00:00,54.335172,-1.437154,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2025-06,2025,6,13,True
Person search,2025-06-26 11:58:00+00:00,54.285606,-0.401638,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,11,True
Person search,2025-06-26 12:00:00+00:00,53.967519,-1.101649,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,12,True
Person search,2025-06-26 14:32:00+00:00,54.289872,-0.425574,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,14,True
Person search,2025-06-26 15:46:00+00:00,53.960394,-2.022627,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,Yes,2025-06,2025,6,15,True
Person search,2025-06-26 17:07:00+00:00,54.290872,-0.428199,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,17,True
Person search,2025-06-26 17:07:00+00:00,54.290872,-0.428199,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,17,True
Person search,2025-06-26 22:08:00+00:00,53.957273,-1.084983,Male,over 34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,22,True
Person search,2025-06-28 00:59:00+00:00,53.784246,-1.069263,Male,25-34,Not Specified,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,0,True
Person search,2025-06-28 17:25:00+00:00,54.28366,-0.394524,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,17,True
Person search,2025-06-28 20:28:00+00:00,54.281782,-0.401873,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-06,2025,6,20,True
Person search,2025-06-28 21:03:00+00:00,54.277667,-0.409609,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-06,2025,6,21,True
Person search,2025-06-29 00:59:00+00:00,53.958064,-1.08143,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2025-06,2025,6,0,True
Person search,2025-01-01 10:39:00+00:00,53.994245,-1.535262,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,10,True
Person search,2025-01-01 22:25:00+00:00,,,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,22,False
Person and Vehicle search,2025-01-02 20:48:00+00:00,54.406579,-1.730428,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,20,True
Person search,2025-01-03 12:31:00+00:00,53.951793,-1.08655,Male,18-24,Not Specified,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,12,True
Person search,2025-01-03 16:31:00+00:00,54.286477,-0.397518,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2025-01,2025,1,16,True
Person and Vehicle search,2025-01-04 03:09:00+00:00,53.97693,-1.096841,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,3,True
Person and Vehicle search,2025-01-04 03:09:00+00:00,53.97693,-1.096841,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,3,True
Person search,2025-01-04 19:08:00+00:00,54.027494,-1.560125,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2025-01,2025,1,19,True
Person and Vehicle search,2025-01-04 19:18:00+00:00,54.286477,-0.397518,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,19,True
Person and Vehicle search,2025-01-05 01:25:00+00:00,54.005414,-1.536892,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,1,True
Person search,2025-01-08 22:11:00+00:00,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,22,False
Person search,2025-01-08 23:59:00+00:00,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,23,False
Person search,2025-01-09 22:41:00+00:00,53.796846,-1.232781,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2025-01,2025,1,22,True
Person search,2025-01-11 05:56:00+00:00,53.955916,-1.081446,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,5,True
Person search,2025-01-12 03:04:00+00:00,53.946879,-1.10357,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,3,True
Person search,2025-01-12 03:10:00+00:00,53.948813,-1.102523,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,3,True
Person search,2025-01-13 19:46:00+00:00,53.958738,-2.031572,Male,18-24,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,19,True
Person and Vehicle search,2025-01-14 18:07:00+00:00,54.412973,-1.736133,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-14 18:07:00+00:00,54.412973,-1.736133,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-14 18:07:00+00:00,54.412973,-1.736133,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-14 18:07:00+00:00,54.412973,-1.736133,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-15 01:25:00+00:00,53.905633,-1.186416,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,1,True
Person search,2025-01-17 03:45:00+00:00,54.239399,-0.365257,Male,18-24,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,3,True
Person search,2025-01-17 03:45:00+00:00,54.239399,-0.365257,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,3,True
Person and Vehicle search,2025-01-17 18:31:00+00:00,53.95716,-2.004688,Male,18-24,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-17 18:31:00+00:00,53.95716,-2.004688,Male,25-34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-17 18:31:00+00:00,53.95716,-2.004688,Male,over 34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person and Vehicle search,2025-01-17 18:31:00+00:00,53.95716,-2.004688,Male,25-34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,18,True
Person search,2025-01-17 21:47:00+00:00,53.916639,-1.69329,Male,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2025-01,2025,1,21,True
Person search,2025-01-18 03:10:00+00:00,54.48527,-0.61457,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,3,True
Person search,2025-01-18 03:47:00+00:00,54.48527,-0.61457,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,3,True
Person search,2025-01-18 05:31:00+00:00,53.957862,-1.082339,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,5,True
Person and Vehicle search,2025-01-18 16:18:00+00:00,53.919728,-1.143223,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,16,True
Person search,2025-01-19 16:57:00+00:00,53.957537,-1.083087,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2025-01,2025,1,16,True
Person search,2025-01-20 13:25:00+00:00,53.953677,-1.087195,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,13,True
Person search,2025-01-20 13:49:00+00:00,53.954309,-1.086495,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,13,True
Person search,2025-01-20 23:25:00+00:00,54.484824,-0.616042,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,Yes,2025-01,2025,1,23,True
Person and Vehicle search,2025-01-21 01:12:00+00:00,54.083458,-1.395852,Male,over 34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2025-01,2025,1,1,True
Person search,2025-01-21 15:09:00+00:00,54.002945,-1.533029,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,15,True
Person search,2025-01-22 02:55:00+00:00,54.265979,-0.393092,Female,10-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,2,True
Person search,2025-01-23 15:31:00+00:00,53.953159,-1.086536,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,15,True
Person search,2025-01-23 15:31:00+00:00,53.953159,-1.086536,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,15,True
Person search,2025-01-23 21:24:00+00:00,53.778384,-1.058633,Male,18-24,Not Specified,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,21,True
Person search,2025-01-24 13:47:00+00:00,53.960605,-1.112237,Female,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,13,True
Person and Vehicle search,2025-01-25 08:19:00+00:00,54.008526,-1.376354,Male,over 34,Not Specified,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2025-01,2025,1,8,True
