Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2024-08-01T15:19:00+00:00,,,54.287798,-0.433078,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2024-08-01T19:45:00+00:00,,,53.995948,-1.518098,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,,Offensive weapons,,False,
Person search,2024-08-02T16:33:00+00:00,,,53.946490,-1.072405,Male,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2024-08-02T16:50:00+00:00,,,53.957159,-1.078249,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-08-03T04:21:00+00:00,,,53.994556,-1.522106,Male,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-08-04T13:20:00+00:00,,,53.965236,-1.083726,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2024-08-04T15:25:00+00:00,,,53.970376,-1.531366,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,,,,False,
Person search,2024-08-04T22:53:00+00:00,,,53.953442,-1.054467,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2024-08-05T00:06:00+00:00,,,53.922228,-1.077481,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest,True,
Person search,2024-08-06T08:35:00+00:00,,,53.733662,-0.997176,Male,over 34,White - Any other White background,,,,,False,
Person and Vehicle search,2024-08-06T22:55:00+00:00,,,54.004475,-1.491269,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2024-08-08T00:04:00+00:00,,,53.945990,-1.356200,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2024-08-08T16:51:00+00:00,,,54.231193,-1.350483,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2024-08-08T17:17:00+00:00,,,53.728738,-1.032277,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,,,Arrest,True,
Person and Vehicle search,2024-08-08T17:49:00+00:00,,,53.724205,-1.019802,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,,,,False,
Person and Vehicle search,2024-08-09T14:33:00+00:00,,,54.380146,-1.678240,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-09T15:15:00+00:00,,,54.281770,-0.405857,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-10T13:41:00+00:00,,,53.957159,-1.078249,Male,over 34,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2024-08-10T13:49:00+00:00,,,53.993282,-1.539772,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person search,2024-08-10T14:20:00+00:00,,,53.993282,-1.539772,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2024-08-10T19:42:00+00:00,,,53.752918,-1.023532,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-08-10T19:42:00+00:00,,,53.752918,-1.023532,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person and Vehicle search,2024-08-10T19:42:00+00:00,,,53.752918,-1.023532,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2024-08-11T03:20:00+00:00,,,53.959055,-1.087626,Male,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-12T13:37:00+00:00,,,54.282914,-0.394958,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-08-12T14:25:00+00:00,,,54.064608,-1.365659,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-12T14:41:00+00:00,,,54.282121,-0.400915,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-13T00:42:00+00:00,,,53.996917,-1.502314,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2024-08-14T06:02:00+00:00,,,53.957319,-1.079175,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-08-14T18:46:00+00:00,,,53.998397,-1.528382,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-15T18:16:00+00:00,,,54.286477,-0.397518,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-16T16:54:00+00:00,,,54.285209,-0.421977,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2024-08-16T19:12:00+00:00,,,54.277526,-0.430940,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-17T14:49:00+00:00,,,53.895522,-1.989175,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Penalty Notice for Disorder,True,
Person search,2024-08-17T14:49:00+00:00,,,53.895522,-1.989175,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-08-17T15:11:00+00:00,,,53.895522,-1.989175,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
