Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-04-01T14:49:00+00:00,,,53.969475,-1.070385,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-02T00:34:00+00:00,,,53.852759,-1.349605,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-04T19:37:00+00:00,,,53.774017,-1.064542,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-04-05T10:03:00+00:00,,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,,Stolen goods,Arrest,True,
Person and Vehicle search,2025-04-05T12:19:00+00:00,,,54.288420,-0.385520,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-04-05T22:03:00+00:00,,,53.885212,-1.355856,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,,False,
Person search,2025-04-06T03:31:00+00:00,,,53.992366,-1.539813,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2025-04-06T07:43:00+00:00,,,53.933423,-1.110697,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2025-04-06T23:47:00+00:00,,,54.490348,-0.789638,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-04-07T04:08:00+00:00,,,53.725138,-1.264444,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-07T16:06:00+00:00,,,54.485270,-0.614570,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2025-04-08T01:27:00+00:00,,,53.988581,-1.466802,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-08T01:27:00+00:00,,,53.988581,-1.466802,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-08T04:28:00+00:00,,,53.956402,-1.120136,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-08T06:23:00+00:00,,,53.989937,-1.024021,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person and Vehicle search,2025-04-08T06:39:00+00:00,,,53.999691,-1.514607,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-09T07:46:00+00:00,,,53.962287,-1.114747,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-09T18:57:00+00:00,,,53.954788,-1.129216,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2025-04-09T22:20:00+00:00,,,53.959281,-1.084118,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-09T22:27:00+00:00,,,53.905633,-1.186416,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-09T22:27:00+00:00,,,53.905633,-1.186416,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-09T22:27:00+00:00,,,53.905633,-1.186416,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-10T02:55:00+00:00,,,53.782180,-1.075243,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-10T11:38:00+00:00,,,53.961588,-1.072131,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-10T15:44:00+00:00,,,53.961588,-1.072131,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-12T07:14:00+00:00,,,53.948815,-1.052454,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-13T04:58:00+00:00,,,53.954421,-1.063649,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-13T05:12:00+00:00,,,53.954421,-1.063649,,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-13T06:32:00+00:00,,,53.803935,-1.251085,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-13T12:34:00+00:00,,,53.975807,-1.068689,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,True,
Person search,2025-04-13T16:05:00+00:00,,,54.281707,-0.434707,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,,False,
Person and Vehicle search,2025-04-13T18:24:00+00:00,,,53.997364,-1.501714,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-04-14T22:08:00+00:00,,,53.956609,-1.073400,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-04-15T17:22:00+00:00,,,53.789499,-1.043433,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-15T21:04:00+00:00,,,54.482086,-0.613327,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2025-04-15T21:35:00+00:00,,,53.949367,-1.100957,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-16T02:26:00+00:00,,,53.959055,-1.087626,Male,18-24,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-04-16T04:29:00+00:00,,,54.295089,-0.440116,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person and Vehicle search,2025-04-16T11:12:00+00:00,,,54.494276,-1.614586,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-04-17T02:30:00+00:00,,,53.956150,-1.090996,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-17T02:30:00+00:00,,,53.956150,-1.090996,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-17T22:39:00+00:00,,,53.965061,-1.091458,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2025-04-18T05:11:00+00:00,,,53.958346,-1.080242,Male,10-17,,Asian,,Controlled drugs,Arrest,True,
Person and Vehicle search,2025-04-19T19:40:00+00:00,,,53.977891,-1.533889,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-20T04:17:00+00:00,,,53.906334,-1.985412,Male,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-04-20T05:05:00+00:00,,,53.906334,-1.985412,Female,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-04-21T17:06:00+00:00,,,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-21T18:43:00+00:00,,,53.983500,-1.049362,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2025-04-22T02:19:00+00:00,,,54.001332,-1.136025,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-22T17:08:00+00:00,,,54.339324,-1.433721,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2025-04-23T12:34:00+00:00,,,54.125475,-1.531133,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-23T13:08:00+00:00,,,53.915970,-1.528245,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2025-04-23T19:41:00+00:00,,,54.238867,-0.395634,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-04-24T02:41:00+00:00,,,53.770301,-1.158678,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-24T02:41:00+00:00,,,53.769726,-1.156156,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-04-24T20:57:00+00:00,,,,,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-04-25T05:39:00+00:00,,,54.374667,-1.724000,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
