Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-06-04T00:16:00+00:00,,,53.997213,-1.528944,Male,over 34,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-04T00:34:00+00:00,,,53.999964,-1.533703,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-06-04T00:52:00+00:00,,,54.001623,-1.535073,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-04T04:20:00+00:00,,,53.950993,-1.108099,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Vehicle search,2025-06-04T14:15:00+00:00,,,,,,over 34,,,,,,,
Person and Vehicle search,2025-06-05T13:50:00+00:00,,,54.242305,-0.761041,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-06T12:14:00+00:00,,,53.995474,-1.539275,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-06T12:14:00+00:00,,,53.995474,-1.539275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person and Vehicle search,2025-06-06T20:14:00+00:00,,,54.417379,-1.267812,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person and Vehicle search,2025-06-06T20:14:00+00:00,,,54.417379,-1.267812,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person and Vehicle search,2025-06-07T07:06:00+00:00,,,53.775022,-1.248368,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-07T16:17:00+00:00,,,53.954621,-1.093194,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-07T20:05:00+00:00,,,53.972766,-1.086976,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2025-06-07T22:16:00+00:00,,,54.281440,-0.399265,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-09T01:39:00+00:00,,,54.263451,-1.515246,Male,over 34,,Asian,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Community resolution,True,
Person search,2025-06-09T22:55:00+00:00,,,54.135303,-0.773313,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-06-10T04:20:00+00:00,,,54.281153,-0.410888,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-10T06:14:00+00:00,,,53.958919,-1.080451,Male,18-24,,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-06-10T12:49:00+00:00,,,53.949899,-1.109661,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-11T13:42:00+00:00,,,54.248074,-0.787466,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-06-12T00:13:00+00:00,,,,,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-12T00:45:00+00:00,,,54.374836,-1.695861,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-12T14:47:00+00:00,,,54.284499,-0.390021,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2025-06-13T01:44:00+00:00,,,53.785261,-1.068026,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-14T01:00:00+00:00,,,54.282793,-0.398951,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,True,
Person search,2025-06-14T20:23:00+00:00,,,53.960859,-1.070836,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-06-15T05:55:00+00:00,,,53.975493,-1.072249,Male,18-24,,Black,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,,False,
Person and Vehicle search,2025-06-15T11:55:00+00:00,,,54.249179,-0.480389,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-06-15T11:55:00+00:00,,,54.249179,-0.480389,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-06-16T03:19:00+00:00,,,54.005414,-1.536892,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-16T18:43:00+00:00,,,54.104890,-1.384498,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,
Person search,2025-06-17T01:06:00+00:00,,,54.231429,-0.321082,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-17T03:36:00+00:00,,,54.231429,-0.321082,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-17T03:45:00+00:00,,,54.231429,-0.321082,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-17T16:09:00+00:00,,,54.128038,-0.293555,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-17T16:16:00+00:00,,,54.128038,-0.293555,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-17T19:01:00+00:00,,,54.134954,-0.774348,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2025-06-17T19:01:00+00:00,,,54.134954,-0.774348,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2025-06-17T19:26:00+00:00,,,54.134954,-0.774348,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-06-17T20:27:00+00:00,,,53.965236,-1.083726,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-06-17T20:29:00+00:00,,,54.283660,-0.394524,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2025-06-17T20:29:00+00:00,,,54.283660,-0.394524,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-06-17T21:57:00+00:00,,,54.284456,-1.807534,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-06-17T23:45:00+00:00,,,53.991923,-1.104071,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2025-06-19T20:24:00+00:00,,,53.965090,-1.108621,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-06-19T20:43:00+00:00,,,53.966683,-1.082505,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Stolen goods,Arrest,True,
Person search,2025-06-20T10:52:00+00:00,,,53.958796,-1.086732,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-06-20T23:03:00+00:00,,,54.233036,-0.334559,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-21T03:50:00+00:00,,,54.381685,-1.685603,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Firearms,,False,
Person search,2025-06-23T12:53:00+00:00,,,54.339324,-1.433721,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-06-24T00:07:00+00:00,,,54.005686,-1.537500,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2025-06-24T04:55:00+00:00,,,53.956609,-1.073400,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-06-24T09:07:00+00:00,,,53.954390,-1.075240,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-24T13:50:00+00:00,,,54.335172,-1.437154,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2025-06-26T11:58:00+00:00,,,54.285606,-0.401638,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-26T12:00:00+00:00,,,53.967519,-1.101649,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-06-26T14:32:00+00:00,,,54.289872,-0.425574,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-26T15:46:00+00:00,,,53.960394,-2.022627,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Community resolution,True,
Person search,2025-06-26T17:07:00+00:00,,,54.290872,-0.428199,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-26T17:07:00+00:00,,,54.290872,-0.428199,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-26T22:08:00+00:00,,,53.957273,-1.084983,Male,over 34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-06-28T00:59:00+00:00,,,53.784246,-1.069263,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
