Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2024-11-01T21:49:00+00:00,,,53.945074,-1.138194,Male,18-24,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-02T07:08:00+00:00,,,54.285428,-0.400431,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-03T16:49:00+00:00,,,54.287383,-0.408959,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-04T08:47:00+00:00,,,53.784781,-1.074518,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,,,,,False,
Person search,2024-11-05T00:23:00+00:00,,,54.283254,-0.403941,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-11-05T00:32:00+00:00,,,54.283254,-0.403941,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-11-05T05:12:00+00:00,,,53.960387,-1.085585,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-11-05T16:28:00+00:00,,,53.946490,-1.072405,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2024-11-05T21:59:00+00:00,,,53.765162,-1.081806,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,True,
Person and Vehicle search,2024-11-05T21:59:00+00:00,,,53.765162,-1.081806,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),,A no further action disposal,True,
Person search,2024-11-05T23:49:00+00:00,,,53.958796,-1.086732,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-11-06T14:36:00+00:00,,,54.152247,-0.778184,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-11-06T14:36:00+00:00,,,54.152247,-0.778184,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-06T23:08:00+00:00,,,53.962786,-1.071388,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-07T07:27:00+00:00,,,53.999481,-1.522847,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2024-11-07T07:39:00+00:00,,,53.999481,-1.522847,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2024-11-07T09:50:00+00:00,,,53.859686,-1.326076,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2024-11-07T13:59:00+00:00,,,53.991846,-1.566922,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-07T22:46:00+00:00,,,54.282654,-0.404056,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-07T22:46:00+00:00,,,54.282654,-0.404056,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-11-08T19:02:00+00:00,,,53.957160,-2.004688,Male,25-34,,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
