Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2bf9fe32ef8117ba0be33bee7e05a95a84f33bf2d45a84cdbd12d4823399ebc9,2024-09,North Yorkshire Police,North Yorkshire Police,-1.182547,53.976914,On or near Parking Area,E01013426,York 011C,Unable to prosecute suspect
2bf9fe32ef8117ba0be33bee7e05a95a84f33bf2d45a84cdbd12d4823399ebc9,2024-09,North Yorkshire Police,North Yorkshire Police,-1.182547,53.976914,On or near Parking Area,E01013426,York 011C,Unable to prosecute suspect
dee166c20cffcc569d17169c4b1a663e1e2b50061b3b0b456a18088b2c7ec379,2024-09,North Yorkshire Police,North Yorkshire Police,-2.015646,53.958058,On or near George Street,E01027578,Craven 006A,Investigation complete; no suspect identified
e2eff1a1cf4eb8316f10e45bf98b090ad78be71cdac62b1fd48fe5167d0e1fbe,2024-09,North Yorkshire Police,North Yorkshire Police,-1.104071,53.991923,On or near ,E01013429,York 006B,Unable to prosecute suspect
eb0129bcf514f3ac07cc47bf6f0440562b78a8e869cfd620744072dec20ba694,2024-09,North Yorkshire Police,North Yorkshire Police,-0.318958,54.176467,On or near Lawsons Close,E01027833,Scarborough 014E,Local resolution
eb0129bcf514f3ac07cc47bf6f0440562b78a8e869cfd620744072dec20ba694,2024-09,North Yorkshire Police,North Yorkshire Police,-0.318958,54.176467,On or near Lawsons Close,E01027833,Scarborough 014E,Local resolution
c98e9bd838703eaa739bfbb36c934398b917f42d4a923647fa378f842a3687c2,2024-09,North Yorkshire Police,North Yorkshire Police,-0.299866,54.203740,On or near Pebble Lane,E01027828,Scarborough 014B,Unable to prosecute suspect
955f7e1bc5cd7c42a61cb04f781a09698db101f4ba30c218bb74f8c7202d9b9d,2024-09,North Yorkshire Police,North Yorkshire Police,-1.498053,53.990958,On or near Hookstone Chase,E01027663,Harrogate 017D,Unable to prosecute suspect
e4c54befe102d65bc72186fae1ebed23dc8e225ce5b9852c805f3c98eb706433,2024-09,North Yorkshire Police,North Yorkshire Police,-2.104127,53.981813,On or near Goffa Mill,E01027563,Craven 007C,Investigation complete; no suspect identified
88219b1c53de44c63800c7c79310bb77f58921ead0a908bd13eae268b52fda84,2024-09,North Yorkshire Police,North Yorkshire Police,-1.019701,53.949789,On or near ,E01013378,York 023B,Unable to prosecute suspect
88219b1c53de44c63800c7c79310bb77f58921ead0a908bd13eae268b52fda84,2024-09,North Yorkshire Police,North Yorkshire Police,-1.019701,53.949789,On or near ,E01013378,York 023B,Unable to prosecute suspect
af78f16333264b89d6e79b928cca7d0f7ef64e0eda6ef13352f6e9b5f3641b7e,2024-09,North Yorkshire Police,North Yorkshire Police,-1.084118,53.959281,On or near ,E01033070,York 013I,Investigation complete; no suspect identified
361e85ed3a2bdef0f4c46d085af0d2eb9e6b2169a67be42bc323c0b60903e9b7,2024-09,North Yorkshire Police,North Yorkshire Police,-2.042743,53.884621,On or near Park Road,E01027560,Craven 007B,Unable to prosecute suspect
faa1f21a3d321fec08bc595d7ee686fe77ccf6cbf2ecbe1a9ed45592f6e3aac3,2024-09,North Yorkshire Police,North Yorkshire Police,-1.084517,53.960122,On or near ,E01013366,York 013A,Suspect charged
faa1f21a3d321fec08bc595d7ee686fe77ccf6cbf2ecbe1a9ed45592f6e3aac3,2024-09,North Yorkshire Police,North Yorkshire Police,-1.084517,53.960122,On or near ,E01013366,York 013A,Suspect charged
f7cbb6be8e36578ee892b06d6a6bde8f8430b1cd3bc5f11d9fc29c6e9f26b082,2024-09,North Yorkshire Police,North Yorkshire Police,-0.397113,54.285815,On or near Tollergate,E01027805,Scarborough 006A,Unable to prosecute suspect
f7cbb6be8e36578ee892b06d6a6bde8f8430b1cd3bc5f11d9fc29c6e9f26b082,2024-09,North Yorkshire Police,North Yorkshire Police,-0.397113,54.285815,On or near Tollergate,E01027805,Scarborough 006A,Unable to prosecute suspect
