Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2025-08-13T06:27:00+00:00,,,53.914188,-1.182752,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-13T20:25:00+00:00,,,53.962669,-1.080749,Male,over 34,Other ethnic group - Not stated,White,,Offensive weapons,,False,
Person search,2025-08-13T22:19:00+00:00,,,53.742048,-1.239761,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2025-08-16T00:21:00+00:00,,,53.968952,-1.084285,Male,25-34,,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-08-16T15:18:00+00:00,,,53.928743,-1.117720,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-08-17T00:04:00+00:00,,,54.484251,-0.625032,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-17T04:18:00+00:00,,,54.338931,-1.431765,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-19T23:36:00+00:00,,,54.285428,-0.400431,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-20T11:43:00+00:00,,,53.958196,-2.039969,Male,over 34,,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-08-20T12:58:00+00:00,,,53.958435,-2.016728,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-08-20T13:33:00+00:00,,,54.262832,-0.415462,Male,over 34,,,,,,,
Person search,2025-08-20T17:25:00+00:00,,,53.956944,-1.081896,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-20T17:39:00+00:00,,,53.956944,-1.081896,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-20T17:42:00+00:00,,,53.956944,-1.081896,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-08-21T04:59:00+00:00,,,54.286581,-0.399926,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,Arrest,,
Person search,2025-08-22T14:02:00+00:00,,,53.852759,-1.349605,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-22T17:01:00+00:00,,,54.474513,-1.765273,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-08-22T18:37:00+00:00,,,54.371013,-1.744976,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2025-08-22T19:16:00+00:00,,,54.276934,-0.416073,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-08-23T16:27:00+00:00,,,54.374667,-1.724000,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-08-24T01:28:00+00:00,,,54.278741,-0.403194,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-08-24T01:28:00+00:00,,,54.278741,-0.403194,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-24T07:54:00+00:00,,,53.976901,-1.533671,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-08-24T09:49:00+00:00,,,53.960122,-1.084517,Male,25-34,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-08-24T17:13:00+00:00,,,54.250792,-0.478308,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-24T21:02:00+00:00,,,53.784722,-1.069252,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-24T23:26:00+00:00,,,,,Male,25-34,Other ethnic group - Not stated,White,,Controlled drugs,Arrest,True,
Person search,2025-08-25T00:10:00+00:00,,,54.280857,-0.404802,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-08-25T03:46:00+00:00,,,54.231193,-1.350483,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-08-27T07:09:00+00:00,,,54.262832,-0.415462,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-28T07:33:00+00:00,,,54.420517,-0.589791,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),,,False,
Person search,2025-08-28T07:47:00+00:00,,,54.420517,-0.589791,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-28T18:12:00+00:00,,,54.272069,-0.400273,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-28T21:20:00+00:00,,,54.272069,-0.400273,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-29T17:36:00+00:00,,,54.277667,-0.409609,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-08-30T01:45:00+00:00,,,54.489830,-0.622498,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-08-30T01:45:00+00:00,,,54.489830,-0.622498,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-30T12:51:00+00:00,,,54.337738,-1.430351,Male,10-17,,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-08-30T18:55:00+00:00,,,54.238867,-0.395634,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-31T04:24:00+00:00,,,54.389315,-0.545623,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-08-31T12:35:00+00:00,,,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,,
Person search,2025-08-31T14:00:00+00:00,,,54.280857,-0.404802,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-08-31T14:06:00+00:00,,,54.274938,-0.402404,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
