Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person and Vehicle search,2024-06-30T23:04:00+00:00,,,53.902243,-1.381316,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-02T01:26:00+00:00,,,54.230027,-1.345899,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-02T19:50:00+00:00,,,53.957273,-1.084983,Male,over 34,White - Irish,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2024-07-02T22:18:00+00:00,,,53.961927,-1.090718,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Controlled drugs,,False,
Person search,2024-07-03T02:33:00+00:00,,,53.956569,-1.082240,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2024-07-03T05:32:00+00:00,,,54.242154,-0.407615,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,,Offensive weapons,,False,
Person search,2024-07-03T07:14:00+00:00,,,53.998745,-1.498707,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-07-03T16:55:00+00:00,,,53.950583,-1.140579,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person and Vehicle search,2024-07-05T08:05:00+00:00,,,54.017000,-1.563609,Male,18-24,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2024-07-05T15:57:00+00:00,,,53.960122,-1.084517,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-05T17:21:00+00:00,,,53.995474,-1.539275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2024-07-05T17:21:00+00:00,,,53.995474,-1.539275,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-05T17:21:00+00:00,,,53.995474,-1.539275,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-06T02:51:00+00:00,,,53.784722,-1.069252,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-06T15:44:00+00:00,,,54.376790,-1.723757,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-07T04:30:00+00:00,,,53.972975,-1.081468,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2024-07-07T18:36:00+00:00,,,54.442307,-1.671485,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2024-07-08T02:07:00+00:00,,,54.442307,-1.671485,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2024-07-08T20:55:00+00:00,,,54.343854,-1.435297,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-09T01:34:00+00:00,,,54.280857,-0.404802,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2024-07-09T07:27:00+00:00,,,53.990453,-1.517246,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2024-07-09T19:18:00+00:00,,,54.000392,-1.551746,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2024-07-10T00:27:00+00:00,,,54.361647,-1.419741,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-10T10:57:00+00:00,,,53.950993,-1.108099,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-07-11T09:43:00+00:00,,,54.372055,-1.716646,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-07-11T12:44:00+00:00,,,54.532526,-0.751233,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-11T14:00:00+00:00,,,53.975807,-1.068689,Male,10-17,,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person and Vehicle search,2024-07-11T23:36:00+00:00,,,54.302123,-0.918347,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2024-07-14T22:14:00+00:00,,,53.997549,-1.541525,Male,25-34,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2024-07-14T22:14:00+00:00,,,53.997549,-1.541525,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person search,2024-07-16T09:43:00+00:00,,,53.958528,-1.083246,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-16T14:43:00+00:00,,,54.010692,-1.465848,Male,10-17,,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-17T01:15:00+00:00,,,54.273905,-0.417464,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-17T10:11:00+00:00,,,53.942659,-1.089812,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2024-07-18T12:12:00+00:00,,,53.904723,-1.628400,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,True,
Person and Vehicle search,2024-07-19T17:29:00+00:00,,,54.000190,-1.448942,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2024-07-19T19:45:00+00:00,,,54.285646,-0.405385,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-19T19:53:00+00:00,,,54.285646,-0.405385,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-20T04:28:00+00:00,,,53.787289,-1.073400,Female,over 34,,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2024-07-20T07:33:00+00:00,,,54.282131,-0.407348,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2024-07-20T19:43:00+00:00,,,54.282609,-0.401385,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-21T16:14:00+00:00,,,53.997420,-1.090901,Female,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2024-07-22T01:39:00+00:00,,,53.995880,-1.503684,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Arrest,True,
Person search,2024-07-22T15:24:00+00:00,,,53.758870,-1.093668,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-22T19:35:00+00:00,,,53.999481,-1.522847,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2024-07-22T19:35:00+00:00,,,53.999481,-1.522847,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-22T20:22:00+00:00,,,53.999481,-1.522847,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-24T12:17:00+00:00,,,53.959782,-1.083212,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-24T14:47:00+00:00,,,53.994253,-1.539869,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-07-24T19:08:00+00:00,,,53.955084,-1.077335,Male,over 34,White - Irish,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-25T06:48:00+00:00,,,53.962852,-1.055595,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-07-25T08:07:00+00:00,,,54.289872,-0.425574,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-25T08:07:00+00:00,,,54.289872,-0.425574,Female,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2024-07-25T08:07:00+00:00,,,54.289872,-0.425574,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2024-07-25T09:56:00+00:00,,,54.145878,-0.722875,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2024-07-25T09:56:00+00:00,,,54.145878,-0.722875,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2024-07-26T12:16:00+00:00,,,54.282317,-0.399707,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2024-07-26T12:36:00+00:00,,,54.005022,-1.074980,Female,over 34,Other ethnic group - Not stated,,,Controlled drugs,,False,
