Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7337fc0686f4a3caa58b8a322129fdffa6e09e8e961ee95b798de8e6f8e015a2,2024-07,North Yorkshire Police,North Yorkshire Police,-1.275947,54.096398,On or near ,E01027600,Hambleton 011A,Investigation complete; no suspect identified
76bf63de8403d51e14722a6e0bcdd18d3d6cac508364efed2f225771c4ce98fd,2024-07,North Yorkshire Police,North Yorkshire Police,-1.073596,53.783210,On or near Gowthorpe,E01027908,Selby 005D,Suspect charged
23269f9c365ddf04c4a5439207fa81314760af48f21966b44d9aaeb7c5d88350,2024-07,North Yorkshire Police,North Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
0f61ac332836ad23e13bd97f4d844048c1b90ed7993114920dba7d76b10d9238,2024-07,North Yorkshire Police,North Yorkshire Police,-1.119030,53.951451,On or near Hamilton Drive West,E01013441,York 016E,Unable to prosecute suspect
306ddc73d7bbe72548372bbc25062559ad3fa0d92d0f126a060f8a66cb9c8214,2024-07,North Yorkshire Police,North Yorkshire Police,-0.849165,54.079651,On or near Kirkham View,E01027778,Ryedale 007B,Unable to prosecute suspect
3a326df8264fd8a9ccda71cd7f1530f50b3753b216deb20c4d0811045d110f3c,2024-07,North Yorkshire Police,North Yorkshire Police,-1.065065,53.933364,On or near Harden Way,E01034761,York 023D,Unable to prosecute suspect
87c6bcff5b475c115d7b0a5d6e26f58949e21a175ffc9a34b9b7bfe6f4404d95,2024-07,North Yorkshire Police,North Yorkshire Police,-1.118602,53.950801,On or near Queenswood Grove,E01013441,York 016E,Suspect charged
734a1ff0afc2fd56ba20e0e495a2975de538024a94401b4807c220cb2651333e,2024-07,North Yorkshire Police,North Yorkshire Police,-1.066085,53.781750,On or near Hawdon Avenue,E01027909,Selby 005E,Investigation complete; no suspect identified
b1036e6a323c7bf829ccabe0e6fa310c6cbe70a41ca97be5592eaa94a5e0bf93,2024-07,North Yorkshire Police,North Yorkshire Police,-1.080242,53.958346,On or near ,E01033070,York 013I,Unable to prosecute suspect
a867b84eaf208550614aaaf583433cc96e7db78d8df3cbf2b560fdae9eebffb4,2024-07,North Yorkshire Police,North Yorkshire Police,,,No location,,,Investigation complete; no suspect identified
bf87bac44aa71efe22ea64211c2841bda8e9103f939a1fd3e274ce7cb5a177b8,2024-07,North Yorkshire Police,North Yorkshire Police,-1.076817,53.957139,On or near Barleycorn Yard,E01033070,York 013I,Investigation complete; no suspect identified
b3eff6a4784e4d03cce4855c3e81e55f516d150825110faf78e58b56ab0ea238,2024-07,North Yorkshire Police,North Yorkshire Police,-1.273775,53.881868,On or near Aspen Way,E01027921,Selby 001D,Unable to prosecute suspect
6a8ee10b32f9ca337b44f4b07672907e96772ded4e9303de40ca92022d270e87,2024-07,North Yorkshire Police,North Yorkshire Police,-1.069263,53.784246,On or near Finkle Street,E01027909,Selby 005E,Suspect charged
e4f02448c0c3625fbb46974ae10ff9ef101eeab310ff8f38b1bf74c89393e87b,2024-07,North Yorkshire Police,North Yorkshire Police,-1.162321,53.772537,On or near Wells Drive,E01027893,Selby 009C,Unable to prosecute suspect
7c077f0414df54391dcffb9f70fb591e6c5c1fb04a4418f7c8d2daf2ecd430c4,2024-07,North Yorkshire Police,North Yorkshire Police,-1.081759,53.977759,On or near B1363,E01013348,York 010A,Unable to prosecute suspect
a3ff0121448ab989e23819e8a363bf6cc145fdc4927eb1d30ab73a7ce64458f0,2024-07,North Yorkshire Police,North Yorkshire Police,-1.084041,53.964079,On or near Gillygate,E01013366,York 013A,Suspect charged
e00bdaf1459bcbdf66fc2fe91161d4aa1ab8883f188b2a9c3f1975aa71d517eb,2024-07,North Yorkshire Police,North Yorkshire Police,-1.347960,54.227746,On or near Carlton Avenue,E01027620,Hambleton 008A,Unable to prosecute suspect
bd06b82b6c62512430883015462cdc0b83f3a470791550fbba3b2860c13ae6c2,2024-07,North Yorkshire Police,North Yorkshire Police,-0.973840,53.767531,On or near Chestnut Court,E01027896,Selby 008D,Unable to prosecute suspect
87d52fb5f013db62236b62535c115dd6ba55b984f5a79fea91aaf605796516df,2024-07,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
77cc5d507689220e22cec7e0036f53b00423566f51c9a75713984a574325cb28,2024-07,North Yorkshire Police,North Yorkshire Police,,,No location,,,Unable to prosecute suspect
