Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2025-07-01T14:11:00+00:00,,,54.345084,-1.438864,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-07-01T17:22:00+00:00,,,,,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2025-07-03T15:10:00+00:00,,,54.238867,-0.395634,Male,10-17,,White,,Controlled drugs,Community resolution,True,
Person search,2025-07-03T23:11:00+00:00,,,54.132691,-0.796883,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-07-04T05:39:00+00:00,,,53.956150,-1.090996,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,A no further action disposal,True,
Person search,2025-07-04T18:35:00+00:00,,,53.956150,-1.090996,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2025-07-04T19:31:00+00:00,,,54.288741,-0.407604,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-07-05T08:42:00+00:00,,,54.282654,-0.404056,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person and Vehicle search,2025-07-05T23:34:00+00:00,,,53.880605,-1.356551,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person and Vehicle search,2025-07-06T03:21:00+00:00,,,54.483472,-1.556437,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-07-06T05:13:00+00:00,,,53.784246,-1.069263,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-07-06T21:23:00+00:00,,,53.921954,-1.155063,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-06T22:10:00+00:00,,,54.136191,-1.524875,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-07T01:49:00+00:00,,,54.136191,-1.524875,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-07T02:07:00+00:00,,,54.136191,-1.524875,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-07T22:09:00+00:00,,,54.013963,-1.071271,Male,under 10,,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-07-08T13:23:00+00:00,,,54.005541,-1.556253,Male,18-24,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-07-09T21:30:00+00:00,,,53.959658,-1.080632,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-07-11T22:27:00+00:00,,,54.485065,-0.616823,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,
Person and Vehicle search,2025-07-13T04:22:00+00:00,,,54.492675,-0.635603,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-13T18:08:00+00:00,,,,,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person and Vehicle search,2025-07-13T19:41:00+00:00,,,53.919728,-1.143223,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-14T22:54:00+00:00,,,54.286477,-0.397518,Female,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-07-14T23:03:00+00:00,,,54.341178,-1.433780,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,True,
Person search,2025-07-15T04:49:00+00:00,,,53.957905,-1.052827,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-07-15T05:00:00+00:00,,,53.957905,-1.052827,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-07-15T05:02:00+00:00,,,53.999173,-1.444852,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-15T05:02:00+00:00,,,53.999173,-1.444852,Male,18-24,,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-15T05:22:00+00:00,,,53.942931,-1.126400,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-07-15T05:57:00+00:00,,,53.968952,-1.084285,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-07-15T15:22:00+00:00,,,54.267357,-0.396724,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-15T22:03:00+00:00,,,54.082355,-1.731324,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,,,,,
Person search,2025-07-16T20:34:00+00:00,,,54.484824,-0.616042,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-16T20:34:00+00:00,,,54.484824,-0.616042,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-16T20:34:00+00:00,,,54.484824,-0.616042,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-16T20:34:00+00:00,,,54.484824,-0.616042,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-18T08:46:00+00:00,,,54.296238,-0.414120,Male,under 10,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-18T13:49:00+00:00,,,54.272852,-0.424891,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2025-07-19T17:42:00+00:00,,,53.885374,-1.259277,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2025-07-20T12:58:00+00:00,,,53.885374,-1.259277,Male,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-07-20T13:11:00+00:00,,,53.885374,-1.259277,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-07-21T04:21:00+00:00,,,53.963693,-2.017751,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-21T23:21:00+00:00,,,54.132316,-0.808893,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-22T01:20:00+00:00,,,54.486255,-0.614035,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2025-07-24T03:26:00+00:00,,,53.976901,-1.533671,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-24T12:02:00+00:00,,,53.960778,-1.079084,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2025-07-26T00:30:00+00:00,,,53.942659,-1.089812,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,True,
Person search,2025-07-26T06:03:00+00:00,,,54.137974,-0.790347,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,True,
Person and Vehicle search,2025-07-26T13:01:00+00:00,,,53.993431,-1.515686,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,True,
Person search,2025-07-27T05:51:00+00:00,,,53.968952,-1.084285,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2025-07-27T18:07:00+00:00,,,54.274938,-0.402404,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-27T18:21:00+00:00,,,54.274938,-0.402404,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-27T19:12:00+00:00,,,54.274938,-0.402404,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-28T20:12:00+00:00,,,54.279816,-0.398805,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-28T20:20:00+00:00,,,54.273356,-0.402373,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-29T02:24:00+00:00,,,53.953425,-1.074263,Male,18-24,,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2025-07-29T02:24:00+00:00,,,53.953425,-1.074263,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2025-07-29T11:52:00+00:00,,,54.444490,-1.716332,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),,Arrest,True,
Person search,2025-07-30T01:25:00+00:00,,,54.002578,-1.493321,Female,10-17,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest,True,
Person and Vehicle search,2025-07-30T17:44:00+00:00,,,53.992904,-1.541973,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person and Vehicle search,2025-07-30T17:44:00+00:00,,,53.993577,-1.543903,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2025-07-30T18:50:00+00:00,,,54.015569,-1.069770,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2025-07-31T18:59:00+00:00,,,53.874939,-1.272420,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
